Stream name,Units type,Data interval (seconds),Value interpolation,External data source,External update disabled,Latest update,Latest data,Records,External units,Lookup name,Value offset,Value factor,Time offset (seconds),Min. threshold,Max. threshold,Table,Data column,Time column,User field 1,User value 1,User field 2,User value 2,User field 3,User value 3,Tag name,Description
NZ.WEL.MOA.WB01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:11 am,16/02/2024 12:00:00 pm,325319,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223400,,,,,,IPS Short outfall flow
NZ.WEL.MOA.WB02.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:12 am,16/02/2024 12:00:00 pm,325320,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223401,,,,,,Inlet channel oveflow weir flow
NZ.WEL.MOA.WE01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:14 am,18/02/2024 9:30:00 pm,325319,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223402,,,,,,Effluent outflow
NZ.WEL.MOA.WI10.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:15 am,18/02/2024 9:30:00 pm,325319,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223403,,,,,,Influent flow
NZ.WEL.MOA.WS31.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:17 am,18/02/2024 9:30:00 pm,325335,l/s,,0.000,1.000,0.000,250.000,,pv_data,data_value,data_nzdatetime,pvs_id,244503,,,,,,RAS Pumps No1&2 Discharge Magflow Indic Transmitter
NZ.WEL.MOA.WS32.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:18 am,16/02/2024 12:00:00 pm,325335,l/s,,0.000,1.000,0.000,250.000,,pv_data,data_value,data_nzdatetime,pvs_id,244502,,,,,,RAS Pumps No3&4 Discharge Magflow Indic Transmitter
NZ.WEL.MOA.WS33.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:20 am,18/02/2024 9:30:00 pm,325335,l/s,,0.000,1.000,0.000,250.000,,pv_data,data_value,data_nzdatetime,pvs_id,244501,,,,,,RAS Pumps No5&6 Discharge Magflow Indic Transmitter
NZ.WEL.MOA.WS40.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:21 am,18/02/2024 9:03:59 pm,325335,m3/s,,0.000,1.000,0.000,0.001,10000.000,pv_data,data_value,data_nzdatetime,pvs_id,244520,,,,,,WAS Flow
NZ.WEL.MOA.WU01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:22 am,18/02/2024 9:30:00 pm,325335,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,244517,,,,,,UV Channel 1 flow
NZ.WEL.MOA.WU02.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:23 am,18/02/2024 9:30:00 pm,325335,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,244516,,,,,,UV Channel 2 flow
NZ.WEL.POR.ST01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:25 am,18/02/2024 9:29:53 pm,326727,m3/hr,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,244383,,,,,,Centrifuge 1 TWAS Feed Flow
NZ.WEL.POR.ST02.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:26 am,18/02/2024 9:29:53 pm,326727,m3/hr,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,244382,,,,,,Centrifuge 2 TWAS Feed Flow
NZ.WEL.POR.WB01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:28 am,16/02/2024 3:59:53 pm,326727,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223410,,,,,,Overflow Weir
NZ.WEL.POR.WB02.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:29 am,16/02/2024 3:59:53 pm,326721,l/s,,0.000,1.000,0.000,0.001,10000.000,pv_data,data_value,data_nzdatetime,pvs_id,223411,,,,,,Bypass Flow Derived from Weir Level
NZ.WEL.POR.WE01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:30 am,16/02/2024 3:59:53 pm,326727,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,223412,,,,,,UV PartiMag Flow
NZ.WEL.POR.WI01.FLOW.OPC,Q,60.000,Linear,dwh_lutra_local_x64,0,19/02/2024 7:26:31 am,18/02/2024 9:29:53 pm,326727,l/s,,0.000,1.000,0.000,0.001,,pv_data,data_value,data_nzdatetime,pvs_id,244392,,,,,,Rukutane Pt. Flow
