Stream name,Units type,Data interval (seconds),Value interpolation,External data source,External update disabled,Latest update,Latest data,Records,External units,Lookup name,Value offset,Value factor,Time offset (seconds),Min. threshold,Max. threshold,Table,Data column,Time column,User field 1,User value 1,User field 2,User value 2,User field 3,User value 3,Tag name,Description
moata.11 Lucknow Terrace at WWH_RG13.215663.Rain Radar,RD,300.000,Extend,dwh_moata_utc_x64,1,Never,Never,0,mm,,0.000,1.000,0.000,,,trace_trace_data,value,utcdatetime,traceid,215663,,,,,,11 Lucknow Terrace at WWH_RG13
moata.114REYNALDS.201412.Rain,RD,300.000,Extend,dwh_moata_utc_x64,1,Never,Never,0,mm,,0.000,1.000,0.000,,,trace_trace_data,value,utcdatetime,traceid,201412,,,,,,114REYNALDS
moata.115 South Karori.33612.Ultrasonic,Y,300.000,Linear,dwh_moata_utc_x64,1,Never,Never,0,m,,0.000,0.001,0.000,,,trace_trace_data,value,utcdatetime,traceid,33612,,,,,,115 South Karori
moata.115 South Karori.33635.Sewer Depth,Y,300.000,Linear,dwh_moata_utc_x64,1,Never,Never,0,m,,0.000,0.001,0.000,,,trace_trace_data,value,utcdatetime,traceid,33635,,,,,,115 South Karori
moata.115 South Karori.689362.QCONT,Q,300.000,Linear,dwh_moata_utc_x64,0,19/02/2024 3:22:18 pm,Never,0,l/s,,0.000,1.000,0.000,0.000,,trace_trace_data,value,utcdatetime,traceid,689362,,,,,,115 South Karori
moata.115 South Karori.689363.Sewer Overflow Discharge,Q,300.000,Linear,dwh_moata_utc_x64,0,19/02/2024 3:22:21 pm,18/02/2024 10:55:00 am,547838,l/s,,0.000,1.000,0.000,0.000,,trace_trace_data,value,utcdatetime,traceid,689363,,,,,,115 South Karori
moata.12 Dorset Way at WWH_RG08.215658.Rain Radar,RD,300.000,Extend,dwh_moata_utc_x64,1,Never,Never,0,mm,,0.000,1.000,0.000,,,trace_trace_data,value,utcdatetime,traceid,215658,,,,,,12 Dorset Way at WWH_RG08
moata.126 The Esplanade.33802.Ultrasonic,Y,300.000,Linear,dwh_moata_utc_x64,1,Never,Never,0,m,,0.000,0.001,0.000,,,trace_trace_data,value,utcdatetime,traceid,33802,,,,,,126 The Esplanade
moata.126 The Esplanade.33992.Sewer Depth,Y,300.000,Linear,dwh_moata_utc_x64,1,Never,Never,0,m,,0.000,0.001,0.000,,,trace_trace_data,value,utcdatetime,traceid,33992,,,,,,126 The Esplanade
moata.126 The Esplanade.56198.Depth Rec,Y,300.000,Linear,dwh_moata_utc_x64,1,Never,Never,0,m,,0.000,0.001,0.000,,,trace_trace_data,value,utcdatetime,traceid,56198,,,,,,126 The Esplanade
